happensAt(22860, 0).
happensAt(3851, 1).
happensAt(10902, 2).
happensAt(36973, 3).
happensAt(18332, 4).
happensAt(5248, 5).
happensAt(36720, 6).
happensAt(5809, 7).
happensAt(32387, 8).
happensAt(17989, 9).
happensAt(54561, 10).
happensAt(52519, 11).
happensAt(47783, 12).
happensAt(2968, 13).
happensAt(55768, 14).
happensAt(28283, 15).
happensAt(5141, 16).
happensAt(5272, 17).
happensAt(36255, 18).
happensAt(52548, 19).
happensAt(7273, 20).
happensAt(1697, 21).
happensAt(40258, 22).
happensAt(52489, 23).
happensAt(17590, 24).
happensAt(31647, 25).
happensAt(30917, 26).
happensAt(505, 27).
happensAt(8243, 28).
happensAt(52054, 29).
happensAt(43496, 30).
happensAt(54851, 31).
happensAt(46533, 32).
happensAt(23423, 33).
happensAt(24714, 34).
happensAt(27244, 35).
happensAt(46674, 36).
happensAt(42418, 37).
happensAt(49087, 38).
happensAt(860, 39).
happensAt(54084, 40).
happensAt(1025, 41).
happensAt(6429, 42).
happensAt(31096, 43).
happensAt(30827, 44).
happensAt(28209, 45).
happensAt(26944, 46).
happensAt(50450, 47).
happensAt(43279, 48).
happensAt(12251, 49).
happensAt(13168, 50).
happensAt(49378, 51).
happensAt(3989, 52).
happensAt(27365, 53).
happensAt(32581, 54).
happensAt(8775, 55).
happensAt(55165, 56).
happensAt(16637, 57).
happensAt(38373, 58).
happensAt(24214, 59).
happensAt(33150, 60).
happensAt(33257, 61).
happensAt(29207, 62).
happensAt(43121, 63).
happensAt(59500, 64).
happensAt(55762, 65).
happensAt(35418, 66).
happensAt(21985, 67).
happensAt(3107, 68).
happensAt(39777, 69).
happensAt(20979, 70).
happensAt(11685, 71).
happensAt(33065, 72).
happensAt(27607, 73).
happensAt(43483, 74).
happensAt(39506, 75).
happensAt(51388, 76).
happensAt(23615, 77).
happensAt(1613, 78).
happensAt(55792, 79).
happensAt(52560, 80).
happensAt(4020, 81).
happensAt(7540, 82).
happensAt(34000, 83).
happensAt(3016, 84).
happensAt(38366, 85).
happensAt(4388, 86).
happensAt(27671, 87).
happensAt(2759, 88).
happensAt(54698, 89).
happensAt(33321, 90).
happensAt(40724, 91).
happensAt(30650, 92).
happensAt(40417, 93).
happensAt(53812, 94).
happensAt(42314, 95).
happensAt(56521, 96).
happensAt(23778, 97).
happensAt(39775, 98).
happensAt(21064, 99).
happensAt(34291, 100).
happensAt(20779, 101).
happensAt(1235, 102).
happensAt(5331, 103).
happensAt(39477, 104).
happensAt(58196, 105).
happensAt(7693, 106).
happensAt(20134, 107).
happensAt(45426, 108).
happensAt(2368, 109).
happensAt(12916, 110).
happensAt(25902, 111).
happensAt(38971, 112).
happensAt(49170, 113).
happensAt(27941, 114).
happensAt(36799, 115).
happensAt(31652, 116).
happensAt(54466, 117).
happensAt(15982, 118).
happensAt(36458, 119).
happensAt(11788, 120).
happensAt(45058, 121).
happensAt(52059, 122).
happensAt(14561, 123).
happensAt(34374, 124).
happensAt(15345, 125).
happensAt(28246, 126).
happensAt(37570, 127).
happensAt(25725, 128).
happensAt(15813, 129).
happensAt(45864, 130).
happensAt(33971, 131).
